"filename", "language", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "XML", "JSON", "C#", "PostCSS", "comment", "blank", "total"
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Consumers/UserRegisteredConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/DTOs/CartDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/DTOs/CartItemDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Extensions/DependencyInjection.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/InternetMarket.OrderService.Application.csproj", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Orders/Create/CreateOrderCommand.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Orders/Create/CreateOrderCommandHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 7, 100
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Orders/Get/GetAll/GetAllOrdersByUserIdQuery.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Orders/Get/GetAll/GetAllOrdersByUserIdQueryHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 4, 40
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Orders/Get/GetById/GetOrderByIdQuery.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Orders/Get/GetById/GetOrderByIdQueryHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Orders/OrderDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
